,pos_influence,neg_influence,pct_pos,occurance count
value.Reading Comprehension,0.1498658272570269,-0.12277866188947588,0.3257918552036199,221.0
value.Active Listening,0.22161136756260744,-0.1559478772593527,0.9583333333333334,240.0
value.Writing,0.12186718030755597,-0.27987207853903395,0.21694915254237288,295.0
value.Speaking,0.2649476731131755,-0.19497567484655737,0.19852941176470587,272.0
value.Mathematics Skill,0.31742109045882094,-0.24447568244001427,0.6386292834890965,321.0
value.Science,0.1867740279526108,-0.41143215673618444,0.23134328358208955,804.0
value.Critical Thinking,0.2809227064091594,-0.21937239654775384,0.8605898123324397,373.0
value.Active Learning,0.20202542518005062,-0.2572029242466083,0.43478260869565216,322.0
value.Learning Strategies,0.2867648805503609,-0.2201904642430644,0.9522998296422487,587.0
value.Monitoring,0.1447819089361777,-0.21799200117052134,0.024539877300613498,326.0
value.Social Perceptiveness,0.31079916840655775,-0.212779156992523,0.6638888888888889,360.0
value.Coordination,0.14537605762587455,-0.21880990356840252,0.2427536231884058,276.0
value.Persuasion,0.3887962003634034,-0.14015011823549148,0.9708680142687277,1682.0
value.Negotiation,0.3171870964591155,-0.1546681283487301,0.33169129720853857,609.0
value.Instructing,0.3109583266535107,-0.18692438977526393,0.9630901287553648,1165.0
value.Service Orientation,0.30795858132759735,-0.15454688459374474,0.9748858447488584,1752.0
value.Complex Problem Solving,0.22376580509397578,-0.29826488375659116,0.31528662420382164,314.0
value.Operations Analysis,0.14541006057429315,-0.2322511297688242,0.375,376.0
value.Technology Design,0.16627007964134133,-0.20663910568508315,0.9718423169750603,1243.0
value.Equipment Selection,0.22810617268647643,-0.15771657106717374,0.776824034334764,466.0
value.Installation,0.11295618194863544,-0.16766713980818299,0.9031007751937985,258.0
value.Programming,0.08569371303515802,-0.20066787823241117,0.5636998254799301,573.0
value.Operation Monitoring,0.2185819621522834,-0.251723520647935,0.2560240963855422,332.0
value.Operation and Control,0.24340063528932562,-0.2254557544283123,0.32127659574468087,470.0
value.Equipment Maintenance,0.22973459399526647,-0.23446818951928322,0.3401639344262295,244.0
value.Troubleshooting,0.1869278923824711,-0.23807724620073434,0.8564500484966052,1031.0
value.Repairing,0.15260325064310198,-0.27503784210834686,0.7785087719298246,456.0
value.Quality Control Analysis,0.17402293752010942,-0.18603158678083093,0.655367231638418,354.0
value.Judgment and Decision Making,0.2688708741731116,-0.2836930808659833,0.30945558739255014,349.0
value.Systems Analysis,0.3475551381198021,-0.13238259082204268,0.939453125,1024.0
value.Systems Evaluation,0.34648935200952397,-0.13496438405057015,0.9482604817127565,1121.0
value.Time Management,0.19418184843575878,-0.1810136823785636,0.23841059602649006,302.0
value.Management of Financial Resources,0.21139429938658438,-0.17122987205750367,0.5718654434250765,327.0
value.Management of Material Resources,0.15899191817853797,-0.07594390603761283,0.9336283185840708,226.0
value.Management of Personnel Resources,0.27783922696639657,-0.16282483694211328,0.5509259259259259,432.0
value.Oral Comprehension,0.1873610614331456,-0.21375543605283776,0.49107142857142855,112.0
value.Written Comprehension,0.22212518683746008,-0.11011054596298141,0.11235955056179775,445.0
value.Oral Expression,0.24302672480578424,-0.2257471004189962,0.5,90.0
value.Written Expression,0.1909350056400299,-0.2782357323242415,0.2826855123674912,283.0
value.Fluency of Ideas,0.3702232092265067,-0.08341516442048937,0.9818401937046005,1652.0
value.Originality,0.3598693160403191,-0.20853506168573172,0.9799554565701559,1347.0
value.Problem Sensitivity,0.26756024119062466,-0.16067888025290417,0.691764705882353,425.0
value.Deductive Reasoning,0.24855829439403462,-0.12631806614309302,0.8851674641148325,209.0
value.Inductive Reasoning,0.2563610941367103,-0.21916219911011955,0.7188405797101449,345.0
value.Information Ordering,0.14216375786144472,-0.18575647826111003,0.4965986394557823,147.0
value.Category Flexibility,0.12685802239479993,-0.26604749069099143,0.18566775244299674,307.0
value.Mathematical Reasoning,0.22929506622892054,-0.17551609876449537,0.8715953307392996,257.0
value.Number Facility,0.2829501664616791,-0.13885783826421483,0.8865030674846626,652.0
value.Memorization,0.2882992144310824,-0.07735507321715182,0.9919653893695921,1618.0
value.Speed of Closure,0.22461237966286224,-0.21421210472597485,0.28252032520325204,492.0
value.Flexibility of Closure,0.14972723324159326,-0.27565085610364415,0.09602649006622517,302.0
value.Perceptual Speed,0.1632635840010892,-0.1899885913489341,0.19704433497536947,203.0
value.Spatial Orientation,0.1649395569561378,-0.15768629682275523,0.32558139534883723,387.0
value.Visualization,0.20865694588955072,-0.18611381772617988,0.9351491569390402,771.0
value.Selective Attention,0.2608295795795796,-0.11929861174312634,0.10810810810810811,37.0
value.Time Sharing,0.3232170059608345,-0.18890367522545223,0.4398563734290844,557.0
value.Arm-Hand Steadiness,0.20977635936317734,-0.2781455175519469,0.5813586097946287,633.0
value.Manual Dexterity,0.194874692001092,-0.1492616868338168,0.4889705882352941,544.0
value.Finger Dexterity,0.21496768909131772,-0.2524544664054312,0.7014218009478673,422.0
value.Control Precision,0.127507811644737,-0.23042958992286744,0.3752808988764045,445.0
value.Multilimb Coordination,0.23597208412302706,-0.22740593985867327,0.6642728904847397,557.0
value.Response Orientation,0.19694384439477888,-0.24745611114315993,0.4241573033707865,356.0
value.Rate Control,0.1586650951957086,-0.2248962791083998,0.06101190476190476,672.0
value.Reaction Time,0.20416322633686623,-0.23845936660436723,0.24279210925644917,659.0
value.Wrist-Finger Speed,0.14210009461677892,-0.18384932145682928,0.5714285714285714,231.0
value.Speed of Limb Movement,0.12444306549515315,-0.14335303117564724,0.5405405405405406,259.0
value.Static Strength,0.21676277348281703,-0.237298190687997,0.09397944199706314,681.0
value.Explosive Strength,0.2699344568953043,-0.14702009179598227,0.8318318318318318,333.0
value.Dynamic Strength,0.311781829137627,-0.17283893396983535,0.36,675.0
value.Trunk Strength,0.1366808436433473,-0.20508491183728234,0.7537473233404711,467.0
value.Stamina,0.28326669689225803,-0.21061184107265732,0.4888392857142857,448.0
value.Extent Flexibility,0.15675949022963084,-0.15773505997793913,0.3298429319371728,191.0
value.Dynamic Flexibility,0.1054046786123014,-0.03595032725759738,0.9569230769230769,325.0
value.Gross Body Coordination,0.16182442751947904,-0.14570617407326755,0.4626865671641791,268.0
value.Gross Body Equilibrium,0.09417677926797346,-0.1915498367060165,0.05862068965517241,290.0
value.Near Vision,0.18008034850165758,-0.3796930476182112,0.22269807280513917,467.0
value.Far Vision,0.12841863810748622,-0.22283329380012842,0.694300518134715,193.0
value.Visual Color Discrimination,0.2073412585591434,-0.21559675397181666,0.5615141955835962,317.0
value.Night Vision,0.2915730488322745,-0.23403821148349305,0.1962025316455696,158.0
value.Peripheral Vision,0.16966097176156933,-0.20846856172295813,0.22707423580786026,229.0
value.Depth Perception,0.18444918007010216,-0.24043848618337924,0.7726523887973641,607.0
value.Glare Sensitivity,0.16752809720003195,-0.21746567741698905,0.234375,384.0
value.Hearing Sensitivity,0.14256075835635987,-0.2192887627602609,0.46387832699619774,263.0
value.Auditory Attention,0.26248184568739413,-0.3024297565621023,0.7972665148063781,439.0
value.Sound Localization,0.24319946830528452,-0.19026725833834446,0.3230769230769231,195.0
value.Speech Recognition,0.15938859802807265,-0.20115798402136995,0.5283018867924528,106.0
value.Speech Clarity,0.29212598330794903,-0.21447369960306836,0.403470715835141,461.0
value.Administration and Management,0.20073791853468062,-0.19414894870845054,0.45181347150259066,965.0
value.Clerical,0.14604562634068058,-0.1546763187108324,0.16958041958041958,572.0
value.Economics and Accounting,0.20155239350650564,-0.1958414179737842,0.23173803526448364,397.0
value.Sales and Marketing,0.31036545103595564,-0.14299615077857303,0.6086369770580297,741.0
value.Customer and Personal Service,0.253549400000044,-0.21296893260146219,0.8855421686746988,1162.0
value.Personnel and Human Resources,0.20898709983873115,-0.19177681705452498,0.3883495145631068,309.0
value.Production and Processing,0.21972956847824884,-0.2338293135882734,0.6278118609406953,489.0
value.Food Production,0.2442167355056332,-0.20147853787770245,0.7116402116402116,378.0
value.Computers and Electronics,0.23312465196330673,-0.40634292489451385,0.7460238568588469,2012.0
value.Engineering and Technology,0.1554452780686435,-0.24561430464783368,0.6828528072837633,659.0
value.Design,0.21809775101124093,-0.19609430807268735,0.8295668549905838,1062.0
value.Building and Construction,0.1986271068105963,-0.11925189953267039,0.6929577464788732,355.0
value.Mechanical,0.25089804008976757,-0.1628820149958016,0.7354838709677419,620.0
value.Mathematics Knowledge,0.21062726122021297,-0.12747469814840356,0.351027397260274,584.0
value.Physics,0.26245398036334905,-0.16817746103084488,0.27960526315789475,304.0
value.Chemistry,0.20387322531409016,-0.18811683390593548,0.7195431472081218,788.0
value.Biology,0.1557434267983417,-0.22274438148324174,0.701010101010101,495.0
value.Psychology,0.23737537006033782,-0.2133836223523448,0.7356746765249538,541.0
value.Sociology and Anthropology,0.12022133664978997,-0.17843467794154005,0.7979966611018364,599.0
value.Geography,0.32072919794460036,-0.143082452161226,0.36675461741424803,379.0
value.Medicine and Dentistry,0.2758451442519264,-0.18774406234101354,0.8135338345864662,665.0
value.Therapy and Counseling,0.0990888476502396,-0.1848153034590363,0.5214105793450882,397.0
value.Education and Training,0.2338434983126663,-0.22563793744066069,0.8163558106169297,697.0
value.English Language,0.2236083507582832,-0.15034114778694668,0.782258064516129,248.0
value.Foreign Language,0.2763834419040529,-0.12900753440878426,0.6646216768916156,489.0
value.Fine Arts,0.11281932002094534,-0.1864438054636797,0.9267139479905437,423.0
value.History and Archeology,0.19990883333079004,-0.1704216226728778,0.7961165048543689,206.0
value.Philosophy and Theology,0.21749258409746522,-0.1837240926378574,0.8738404452690167,539.0
value.Public Safety and Security,0.29316295403798676,-0.07900559991457314,0.30401529636711283,523.0
value.Law and Government,0.2183932287557353,-0.18998941214290946,0.17177914110429449,1141.0
value.Telecommunications,0.16186526705255605,-0.20159355047752875,0.46634615384615385,208.0
value.Communications and Media,0.13648504897534514,-0.3194785961473492,0.2767527675276753,813.0
value.Transportation,0.3157204417933116,-0.16475274903800485,0.15328467153284672,1370.0
